DATE;TIME;OPEN;HIGH;LOW;CLOSE;VOL
20120515;0;149.9000000;150.8000000;145.3100000;148.5300000;88772080
20120516;0;146.0700000;148.7100000;145.2100000;146.0200000;60087650
20120517;0;146.7900000;146.9800000;140.8000000;142.7000000;80393860
20120518;0;140.0000000;142.7500000;137.0700000;139.5800000;84727770
20120521;0;139.0000000;142.6500000;138.1600000;142.0000000;53655260
20120522;0;143.2200000;144.5600000;142.3900000;143.4100000;55137800
20120523;0;141.4000000;142.6200000;138.1200000;138.6900000;57083240
20120524;0;140.1200000;142.3500000;136.5400000;142.1600000;56174530
20120525;0;141.5000000;144.3000000;140.8000000;143.0000000;46042930
20120528;0;144.4400000;146.3500000;143.6100000;144.2200000;33805550
20120529;0;145.0100000;149.2800000;145.0100000;148.5000000;51606570
20120530;0;147.7000000;150.5100000;146.8200000;148.1100000;67529800
20120531;0;148.3100000;150.2000000;146.7500000;147.0300000;63943740
20120601;0;147.0100000;148.9200000;144.4100000;148.6500000;70830110
20120604;0;146.7500000;152.3000000;146.4500000;151.5000000;49975870
20120605;0;152.5900000;153.2000000;149.8000000;150.4700000;36883720
20120606;0;151.3900000;151.7900000;148.5000000;150.1500000;52434510
20120607;0;151.3300000;153.1000000;149.0800000;151.7500000;53390070
20120608;0;150.1700000;151.7600000;149.5200000;151.5000000;31184310
20120609;0;152.2200000;152.7700000;151.4000000;152.1400000;7839580
20120613;0;152.0300000;154.5400000;151.1200000;152.3000000;42377860
20120614;0;151.9100000;152.3400000;150.7000000;152.1900000;28967420
20120615;0;152.5800000;156.9400000;152.3100000;156.2000000;67485940
20120618;0;158.0300000;158.4900000;156.1500000;157.7000000;39400150
20120619;0;157.3100000;158.9600000;157.0600000;158.9000000;34880420
20120620;0;158.8000000;159.1400000;157.2100000;157.7200000;30770690
20120621;0;156.9100000;158.1900000;155.4500000;156.1700000;36999140
20120622;0;154.4700000;155.9400000;153.5600000;154.9000000;35143440
20120625;0;154.7800000;154.9800000;151.1000000;151.1200000;28526910
20120626;0;151.5500000;152.6800000;150.5000000;151.3000000;27475350
20120627;0;151.8900000;153.9700000;150.2000000;153.9000000;33227360
20120628;0;154.0800000;154.5000000;150.3500000;150.6500000;34912800
20120629;0;153.0000000;154.3600000;152.5100000;153.7600000;41662940
20120702;0;153.8200000;155.8600000;153.0500000;155.2500000;30523510
20120703;0;155.8500000;159.8300000;155.5700000;158.8600000;45777830
20120704;0;158.9000000;159.6600000;157.6000000;159.0500000;23232190
20120705;0;158.8000000;160.7800000;156.9000000;157.3300000;49344610
20120706;0;156.9800000;157.4300000;155.0100000;155.4100000;29837740
20120709;0;155.4100000;156.4600000;153.8100000;154.4100000;26236380
20120710;0;154.0100000;156.7000000;152.7700000;155.6000000;31636390
20120711;0;154.7700000;154.8000000;152.5400000;153.9000000;25262760
20120712;0;153.4200000;153.6000000;151.0000000;152.5600000;29005950
20120713;0;153.1500000;154.0000000;152.2000000;153.3300000;25632110
20120716;0;153.2000000;154.8500000;153.0000000;153.8000000;25427370
20120717;0;154.3000000;157.0000000;154.3000000;155.1900000;35581700
20120718;0;155.8600000;156.5000000;154.2300000;154.8000000;25156350
20120719;0;155.6800000;157.5800000;155.2500000;156.5200000;34679570
20120720;0;156.2900000;156.2900000;153.0000000;153.0100000;24418280
20120723;0;151.9900000;152.2500000;148.1000000;148.3700000;42670480
20120724;0;149.3500000;149.7500000;145.7000000;145.8000000;36050570
20120725;0;144.9400000;148.2900000;144.2300000;145.9900000;37204570
20120726;0;146.5000000;148.9500000;145.2600000;148.5000000;32226180
20120727;0;149.2600000;152.4600000;148.1200000;152.3500000;40937450
20120730;0;153.4000000;154.9900000;153.3800000;154.7500000;33865900
20120731;0;154.8500000;155.0900000;150.1000000;150.7500000;40548020
20120801;0;150.1200000;151.7900000;149.1700000;149.9900000;29329820
20120802;0;149.5800000;152.0000000;147.5500000;148.2000000;47334250
20120803;0;148.0000000;151.2000000;147.6300000;151.1000000;37777430
20120806;0;151.5000000;155.3300000;150.7900000;154.7200000;37933350
20120807;0;154.7200000;156.9900000;153.7500000;156.4200000;37894410
20120808;0;155.7600000;156.0000000;154.3000000;155.5700000;26126050
20120809;0;155.8200000;156.5000000;153.2100000;155.0400000;34724360
20120810;0;154.4200000;155.0000000;152.5400000;153.8500000;29127480
20120813;0;154.0400000;156.6600000;153.7900000;155.2000000;28528200
20120814;0;155.5000000;157.1100000;155.1600000;156.9900000;24274940
20120815;0;156.3100000;156.3100000;153.5400000;154.6000000;27134430
20120816;0;155.4000000;156.8500000;155.0600000;156.8300000;28373870
20120817;0;157.5600000;157.9900000;156.7000000;156.8300000;22478010
20120820;0;157.0100000;157.1900000;153.7000000;154.1100000;25768500
20120821;0;154.6400000;157.4100000;154.6400000;156.9700000;26372520
20120822;0;155.5700000;156.8400000;155.0100000;156.8400000;19322210
20120823;0;157.6000000;159.3000000;156.5700000;157.1000000;38649510
20120824;0;156.2600000;157.6700000;155.6500000;156.8100000;24468730
20120827;0;157.3900000;157.7500000;155.9000000;156.2600000;17133280
20120828;0;156.0000000;157.1900000;155.2400000;156.5000000;26223420
20120829;0;156.6600000;157.7700000;155.2500000;156.0000000;35028820
20120830;0;155.6000000;156.3700000;154.6700000;155.0700000;24290630
20120831;0;155.0300000;157.5000000;154.5700000;157.4000000;30892480
20120903;0;157.2000000;158.8800000;156.6200000;158.1200000;23217020
20120904;0;158.4300000;158.6300000;157.4700000;158.0600000;20325880
20120905;0;157.1700000;157.4500000;155.0000000;155.0500000;41137950
20120906;0;155.0600000;159.4000000;155.0600000;158.9000000;37096830
20120907;0;159.2000000;163.8500000;159.0500000;163.2400000;64673990
20120910;0;162.9000000;164.2900000;162.2200000;164.2100000;29602950
20120911;0;162.9000000;164.2800000;162.6900000;163.4000000;23509760
20120912;0;164.1000000;164.7700000;163.0400000;163.2100000;32925800
20120913;0;163.2000000;163.5000000;161.8700000;162.9900000;28785170
20120914;0;166.9200000;171.0400000;166.5100000;169.5200000;89425010
20120917;0;169.4000000;170.6000000;168.5000000;169.2600000;52085840
20120918;0;168.5000000;168.9900000;167.5000000;167.7600000;34145780
20120919;0;168.2800000;169.4600000;164.0000000;164.7500000;50205100
20120920;0;163.5000000;164.9500000;162.0000000;164.8500000;38307250
20120921;0;165.5400000;165.8700000;162.9500000;163.8000000;33405310
20120924;0;163.2200000;163.3500000;161.0300000;161.9700000;28601300
20120925;0;162.8900000;163.1900000;160.5600000;160.8700000;28237750
20120926;0;160.0000000;160.2800000;156.8700000;157.0000000;35401810
20120927;0;158.1800000;159.1900000;156.3100000;157.4900000;31478540
20120928;0;158.9600000;159.1800000;156.5200000;157.7500000;23986630
20121001;0;157.1700000;161.0000000;156.7300000;160.9000000;30327240
20121002;0;160.4000000;160.4000000;158.7700000;159.3000000;29739610
20121003;0;158.5500000;159.7400000;157.5700000;158.1400000;27751810
20121004;0;158.8800000;158.8900000;155.2000000;156.4100000;33457260
20121005;0;157.5000000;160.5000000;157.1100000;159.0700000;33181280
20121008;0;158.1000000;159.3500000;157.1000000;158.9000000;26772470
20121009;0;159.5000000;159.9200000;157.1500000;157.1500000;37514820
20121010;0;156.7000000;157.0700000;154.9500000;155.3000000;34351090
20121011;0;154.8000000;156.1200000;154.2500000;154.2500000;34197520
20121012;0;154.4700000;154.5900000;151.2700000;152.3600000;34277820
20121015;0;152.0000000;153.3500000;151.3100000;152.2200000;20719800
20121016;0;153.5000000;154.0000000;152.3800000;153.9800000;30686780
20121017;0;154.1500000;157.1000000;153.7700000;156.1400000;43693190
20121018;0;156.3000000;157.5100000;154.3000000;155.0000000;35080730
20121019;0;154.8500000;155.1300000;153.3300000;154.6800000;25352510
20121022;0;153.8700000;156.8500000;153.4400000;156.5300000;27048280
20121023;0;156.3000000;156.5300000;152.8200000;153.6700000;32546080
